trajectory,mean_reward,std_reward,model
1,2069.0,1173.196062045897,NSFR_LR_0.01
2,2069.0,1173.196062045897,NSFR_LR_0.01
3,1983.0,991.5951794961491,NSFR_LR_0.01
4,1629.0,804.306533605192,NSFR_LR_0.01
5,1579.0,677.5020295172554,NSFR_LR_0.01
6,1621.0,921.5253659015578,NSFR_LR_0.01
7,1539.0,801.2047179092245,NSFR_LR_0.01
8,1470.0,853.1705573916624,NSFR_LR_0.01
9,1175.0,763.560737597213,NSFR_LR_0.01
10,1187.0,745.0375829446458,NSFR_LR_0.01
1,2147.0,1227.249363413972,NSFR_LR_0.0005
2,2076.0,1407.41749314125,NSFR_LR_0.0005
3,2519.0,1488.6534183617084,NSFR_LR_0.0005
4,1945.0,1066.6419267964297,NSFR_LR_0.0005
5,2051.0,1209.2762298168273,NSFR_LR_0.0005
6,1730.0,1001.4489502715553,NSFR_LR_0.0005
7,1814.0,1116.5589997846062,NSFR_LR_0.0005
8,1705.0,895.0,NSFR_LR_0.0005
9,1786.0,1051.5721563449652,NSFR_LR_0.0005
10,1617.0,773.7318657002567,NSFR_LR_0.0005
