trajectory,mean_reward,std_reward,model
1,5181.0,3909.039396,GRAIL
2,5181.0,3909.039396,GRAIL
3,5043.0,3400.750064,GRAIL
4,4698.0,2659.115642,GRAIL
5,5293.0,3246.367354,GRAIL
6,4514.0,2624.138716,GRAIL
7,4891.0,3072.794982,GRAIL
8,5005.0,4423.361278,GRAIL
9,5030.0,3803.077701,GRAIL
10,5300.0,3503.326990,GRAIL
11,6308.0,3765.625579,GRAIL
12,6308.0,3765.625579,GRAIL
1,2069.0,1173.196062045897,NSFR
2,2069.0,1173.196062045897,NSFR
3,1983.0,991.5951794961491,NSFR
4,1629.0,804.306533605192,NSFR
5,1579.0,677.5020295172554,NSFR
6,1621.0,921.5253659015578,NSFR
7,1539.0,801.2047179092245,NSFR
8,1470.0,853.1705573916624,NSFR
9,1175.0,763.560737597213,NSFR
10,1187.0,745.0375829446458,NSFR
11,1130.0,725.3964433328854,NSFR
12,1130.0,725.3964433328854,NSFR
1,180.0,130.7669683062202,BC+Mask
2,180.0,130.7669683062202,BC+Mask
3,86.0,112.26753760548951,BC+Mask
4,153.0,126.65306944563167,BC+Mask
5,184.0,171.88368159892318,BC+Mask
6,185.0,163.783393541592,BC+Mask
7,225.0,186.61457606521523,BC+Mask
8,223.0,152.05591076969023,BC+Mask
9,234.0,119.34822998268554,BC+Mask
10,251.0,153.45683432157722,BC+Mask
11,211.0,176.43412368360038,BC+Mask
12,211.0,176.43412368360038,BC+Mask
1,126.0,142.56226709757388,AGIL
2,126.0,142.56226709757388,AGIL
3,163.0,145.8800877433243,AGIL
4,185.0,171.82840277439584,AGIL
5,129.0,130.41855696180662,AGIL
6,178.0,169.75276139138356,AGIL
7,173.0,190.31815467789718,AGIL
8,165.0,129.71121771072848,AGIL
9,199.0,158.8993392056745,AGIL
10,170.0,161.86414056238647,AGIL
11,228.0,175.25980714356615,AGIL
12,228.0,175.25980714356615,AGIL
1,152.0,130.75167302944922,BC
2,152.0,130.75167302944922,BC
3,170.0,128.4523257866513,BC
4,137.0,132.59336333316233,BC
5,93.0,133.79461872586654,BC
6,160.0,149.33184523068078,BC
7,206.0,189.1137224000416,BC
8,248.0,179.15356541246953,BC
9,306.0,223.74986033515194,BC
10,264.0,204.70466531078378,BC
11,251.0,184.52371121349148,BC
12,251.0,184.52371121349148,BC
