trajectory,mean_reward,std_reward,model
1,44.80,18.57,BC
2,74.80,18.25,BC
3,84.80,11.70,BC
4,118.40,30.42,BC
5,78.40,14.88,BC
6,104.00,26.53,BC
7,108.00,30.20,BC
8,79.60,21.72,BC
9,124.40,34.71,BC
10,114.80,32.20,BC
11,90.40,26.30,BC
12,74.00,28.07,BC
13,112.80,36.61,BC
14,136.40,53.92,BC
15,130.40,42.94,BC
16,105.60,31.51,BC
17,100.80,35.54,BC
18,103.20,38.23,BC
19,139.20,39.18,BC
20,114.00,33.53,BC
21,98.40,28.24,BC
22,116.00,36.66,BC
23,86.40,38.87,BC
24,86.40,36.32,BC
25,109.60,32.80,BC
26,105.60,32.01,BC
27,108.00,45.78,BC
28,133.20,34.32,BC
1,106.4,44.6210712556299,NSFR-IL
2,196.4,81.553908551338,NSFR-IL
3,376.6,255.95007325648496,NSFR-IL
4,348.4,121.72690746092256,NSFR-IL
5,357.2,121.91866140997446,NSFR-IL
6,375.6,133.28405756128524,NSFR-IL
7,402.6,222.34036970374947,NSFR-IL
8,403.8,221.62030592885662,NSFR-IL
9,402.2,224.5821898548502,NSFR-IL
10,413.0,225.53270272845134,NSFR-IL
11,423.0,240.46829312822095,NSFR-IL
12,423.0,240.46829312822095,NSFR-IL
13,411.0,218.8172753691993,NSFR-IL
14,414.6,218.4418458079862,NSFR-IL
15,414.6,218.4418458079862,NSFR-IL
16,436.4,260.2902994734917,NSFR-IL
17,436.4,260.2902994734917,NSFR-IL
18,444.6,280.0729190764434,NSFR-IL
19,439.8,261.13207386301667,NSFR-IL
20,443.4,258.1519707459155,NSFR-IL
21,441.0,259.1003666535422,NSFR-IL
22,444.2,274.1757830297928,NSFR-IL
23,454.2,272.7129626548764,NSFR-IL
24,448.6,274.75814819582695,NSFR-IL
25,444.2,274.1757830297928,NSFR-IL
26,452.6,273.72840554096683,NSFR-IL
27,452.6,273.72840554096683,NSFR-IL
28,444.6,260.49345481220826,NSFR-IL
1,230.8,84.305159984428,NSFR-IL+Gaze
2,312.8,94.46777228240327,NSFR-IL+Gaze
3,501.6,216.84427592168532,NSFR-IL+Gaze
4,469.6,175.0995145624339,NSFR-IL+Gaze
5,456.8,132.44530946771954,NSFR-IL+Gaze
6,452.0,120.9958676980334,NSFR-IL+Gaze
7,425.6,107.1104103250473,NSFR-IL+Gaze
8,440.0,113.77170122662314,NSFR-IL+Gaze
9,438.0,114.49017425089369,NSFR-IL+Gaze
10,460.8,154.76226930359996,NSFR-IL+Gaze
11,472.8,165.5420188350982,NSFR-IL+Gaze
12,474.4,168.09711478785113,NSFR-IL+Gaze
13,485.2,176.94338077475516,NSFR-IL+Gaze
14,485.2,176.94338077475516,NSFR-IL+Gaze
15,485.2,176.94338077475516,NSFR-IL+Gaze
16,488.8,176.59716872022608,NSFR-IL+Gaze
17,489.2,175.55443600205606,NSFR-IL+Gaze
18,488.0,176.90675509996785,NSFR-IL+Gaze
19,488.0,176.90675509996785,NSFR-IL+Gaze
20,484.8,172.44407789193573,NSFR-IL+Gaze
21,484.8,172.44407789193573,NSFR-IL+Gaze
22,482.8,172.6040555722837,NSFR-IL+Gaze
23,483.6,171.75284568239329,NSFR-IL+Gaze
24,483.6,171.75284568239329,NSFR-IL+Gaze
25,483.6,171.75284568239329,NSFR-IL+Gaze
26,483.6,171.75284568239329,NSFR-IL+Gaze
27,483.6,171.75284568239329,NSFR-IL+Gaze
28,474.0,148.92951352905172,NSFR-IL+Gaze
1,0.0,0.0,AGIL
2,0.0,0.0,AGIL
3,88.0,27.129319932501073,AGIL
4,204.0,57.1314274283428,AGIL
5,76.0,23.323807579381203,AGIL
6,188.0,41.182520563948,AGIL
7,184.0,79.39773296511683,AGIL
8,144.0,68.58571279792899,AGIL
9,80.0,21.908902300206645,AGIL
10,144.0,68.58571279792899,AGIL
11,132.0,54.55272678794342,AGIL
12,224.0,85.22910301065006,AGIL
13,124.0,73.10266752998827,AGIL
14,128.0,51.536394906900505,AGIL
15,140.0,35.77708763999664,AGIL
16,168.0,20.396078054371138,AGIL
17,100.0,33.46640106136302,AGIL
18,168.0,54.55272678794342,AGIL
19,164.0,54.258639865002145,AGIL
20,152.0,58.787753826796276,AGIL
21,188.0,68.81860213634101,AGIL
22,148.0,29.93325909419153,AGIL
23,188.0,39.191835884530846,AGIL
24,148.0,34.87119154832539,AGIL
25,148.0,46.647615158762406,AGIL
26,160.0,48.98979485566356,AGIL
27,168.0,48.33218389437829,AGIL
28,164.0,23.323807579381203,AGIL
