epoch,num_episodes,gaze_method,train_loss,train_acc,val_acc,mean_reward,std_reward
1,4,AGIL,1.1434619990675134,0.5436516155758078,0.6660108214461387,0.0,0.0
2,4,AGIL,0.6910406140720143,0.751139188069594,0.7953762911952779,10.0,10.0
3,4,AGIL,0.42766706965240253,0.8542357083678542,0.8809640924741761,170.0,71.69379331573968
4,4,AGIL,0.2901765850080176,0.8999067937033969,0.8996556812592228,92.0,53.0659966456864
5,4,AGIL,0.2242444354266101,0.9232601491300746,0.9217904574520414,132.0,51.536394906900505
6,4,AGIL,0.1844582798417778,0.9365420463960232,0.9178553861288736,100.0,63.245553203367585
7,4,AGIL,0.15814264156942834,0.9466652858326429,0.9178553861288736,102.0,38.41874542459709
8,4,AGIL,0.138995247062021,0.9520505385252692,0.9390063944909002,102.0,20.8806130178211
9,4,AGIL,0.12150700547128249,0.956736743993372,0.9355632070831283,102.0,36.27671429443411
10,4,AGIL,0.10828781689038036,0.9621996685998343,0.940973930152484,92.0,22.271057451320086
11,4,AGIL,0.09885162062628168,0.9658502485501242,0.941957697983276,110.0,54.589376255824725
12,4,AGIL,0.0933535304337172,0.9681545153272577,0.9355632070831283,112.0,29.93325909419153
13,4,AGIL,0.08384670936923039,0.971106048053024,0.9404820462370881,88.0,31.240998703626616
14,4,AGIL,0.07534389094740473,0.9732031897265948,0.9488440727988194,138.0,74.0
15,4,AGIL,0.06894901824471569,0.9765689726594863,0.9454008853910477,114.0,50.635955604688654
16,4,AGIL,0.06380550727532142,0.97970173985087,0.9527791441219872,132.0,37.094473981982816
17,4,AGIL,0.05932940550105278,0.9790026926263463,0.9449090014756517,192.0,68.23488843692792
18,4,AGIL,0.05628369051990868,0.980607912178956,0.9547466797835711,110.0,50.79370039680118
19,4,AGIL,0.05488294401293267,0.9808927091963546,0.9503197245450073,118.0,40.44749683231337
20,4,AGIL,0.0465953087414111,0.9845432891466446,0.9547466797835711,84.0,26.5329983228432
