num_episodes,gaze_method,mean_reward,std_reward,model_dir
1,None,44.80,18.57,models/bc/incremental_none/1_ep
2,None,74.80,18.25,models/bc/incremental_none/2_ep
3,None,84.80,11.70,models/bc/incremental_none/3_ep
4,None,118.40,30.42,models/bc/incremental_none/4_ep
5,None,78.40,14.88,models/bc/incremental_none/5_ep
6,None,104.00,26.53,models/bc/incremental_none/6_ep
7,None,108.00,30.20,models/bc/incremental_none/7_ep
8,None,79.60,21.72,models/bc/incremental_none/8_ep
9,None,124.40,34.71,models/bc/incremental_none/9_ep
10,None,114.80,32.20,models/bc/incremental_none/10_ep
11,None,90.40,26.30,models/bc/incremental_none/11_ep
12,None,74.00,28.07,models/bc/incremental_none/12_ep
13,None,112.80,36.61,models/bc/incremental_none/13_ep
14,None,136.40,53.92,models/bc/incremental_none/14_ep
15,None,130.40,42.94,models/bc/incremental_none/15_ep
16,None,105.60,31.51,models/bc/incremental_none/16_ep
17,None,100.80,35.54,models/bc/incremental_none/17_ep
18,None,103.20,38.23,models/bc/incremental_none/18_ep
19,None,139.20,39.18,models/bc/incremental_none/19_ep
20,None,114.00,33.53,models/bc/incremental_none/20_ep
21,None,98.40,28.24,models/bc/incremental_none/21_ep
22,None,116.00,36.66,models/bc/incremental_none/22_ep
23,None,86.40,38.87,models/bc/incremental_none/23_ep
24,None,86.40,36.32,models/bc/incremental_none/24_ep
25,None,109.60,32.80,models/bc/incremental_none/25_ep
26,None,105.60,32.01,models/bc/incremental_none/26_ep
27,None,108.00,45.78,models/bc/incremental_none/27_ep
28,None,133.20,34.32,models/bc/incremental_none/28_ep
