num_episodes,mean_reward,std_reward,model_dir
1,0.0,0.0,models/bc/incremental_agil/1_ep
2,0.0,0.0,models/bc/incremental_agil/2_ep
3,72.0,48.5,models/bc/incremental_agil/3_ep
4,80.4,35.44,models/bc/incremental_agil/4_ep
5,70.8,37.99,models/bc/incremental_agil/5_ep
6,174.4,59.47,models/bc/incremental_agil/6_ep
7,156.8,58.56,models/bc/incremental_agil/7_ep
8,147.2,50.72,models/bc/incremental_agil/8_ep
9,97.2,49.64,models/bc/incremental_agil/9_ep
10,164.8,66.88,models/bc/incremental_agil/10_ep
11,174.0,60.56,models/bc/incremental_agil/11_ep
12,181.2,67.1,models/bc/incremental_agil/12_ep
13,133.6,59.39,models/bc/incremental_agil/13_ep
14,116.0,54.85,models/bc/incremental_agil/14_ep
15,125.6,66.22,models/bc/incremental_agil/15_ep
16,117.2,54.99,models/bc/incremental_agil/16_ep
17,137.2,65.73,models/bc/incremental_agil/17_ep
18,164.8,59.14,models/bc/incremental_agil/18_ep
19,150.8,60.03,models/bc/incremental_agil/19_ep
20,152.8,70.51,models/bc/incremental_agil/20_ep
21,176.8,51.75,models/bc/incremental_agil/21_ep
22,154.4,44.01,models/bc/incremental_agil/22_ep
23,190.0,68.73,models/bc/incremental_agil/23_ep
24,163.6,59.15,models/bc/incremental_agil/24_ep
25,168.4,57.42,models/bc/incremental_agil/25_ep
26,181.2,63.04,models/bc/incremental_agil/26_ep
27,192.8,60.89,models/bc/incremental_agil/27_ep
28,174.8,59.97,models/bc/incremental_agil/28_ep
