num_episodes,gaze_method,mean_reward,std_reward,model_dir
1,None,44.80,18.57,trained_models/bc/incremental_none/1_ep
2,None,74.80,18.25,trained_models/bc/incremental_none/2_ep
3,None,84.80,11.70,trained_models/bc/incremental_none/3_ep
4,None,118.40,30.42,trained_models/bc/incremental_none/4_ep
5,None,78.40,14.88,trained_models/bc/incremental_none/5_ep
6,None,104.00,26.53,trained_models/bc/incremental_none/6_ep
7,None,108.00,30.20,trained_models/bc/incremental_none/7_ep
8,None,79.60,21.72,trained_models/bc/incremental_none/8_ep
9,None,124.40,34.71,trained_models/bc/incremental_none/9_ep
10,None,114.80,32.20,trained_models/bc/incremental_none/10_ep
11,None,90.40,26.30,trained_models/bc/incremental_none/11_ep
12,None,74.00,28.07,trained_models/bc/incremental_none/12_ep
13,None,112.80,36.61,trained_models/bc/incremental_none/13_ep
14,None,136.40,53.92,trained_models/bc/incremental_none/14_ep
15,None,130.40,42.94,trained_models/bc/incremental_none/15_ep
16,None,105.60,31.51,trained_models/bc/incremental_none/16_ep
17,None,100.80,35.54,trained_models/bc/incremental_none/17_ep
18,None,103.20,38.23,trained_models/bc/incremental_none/18_ep
19,None,139.20,39.18,trained_models/bc/incremental_none/19_ep
20,None,114.00,33.53,trained_models/bc/incremental_none/20_ep
21,None,98.40,28.24,trained_models/bc/incremental_none/21_ep
22,None,116.00,36.66,trained_models/bc/incremental_none/22_ep
23,None,86.40,38.87,trained_models/bc/incremental_none/23_ep
24,None,86.40,36.32,trained_models/bc/incremental_none/24_ep
25,None,109.60,32.80,trained_models/bc/incremental_none/25_ep
26,None,105.60,32.01,trained_models/bc/incremental_none/26_ep
27,None,108.00,45.78,trained_models/bc/incremental_none/27_ep
28,None,133.20,34.32,trained_models/bc/incremental_none/28_ep
1,AGIL,0.00,0.00,trained_models/bc/incremental_agil/1_ep
2,AGIL,142.80,58.10,trained_models/bc/incremental_agil/2_ep
3,AGIL,59.60,20.59,trained_models/bc/incremental_agil/3_ep
4,AGIL,67.20,50.08,trained_models/bc/incremental_agil/4_ep
5,AGIL,168.00,66.81,trained_models/bc/incremental_agil/5_ep
6,AGIL,49.20,26.29,trained_models/bc/incremental_agil/6_ep
7,AGIL,134.80,65.34,trained_models/bc/incremental_agil/7_ep
8,AGIL,136.40,52.11,trained_models/bc/incremental_agil/8_ep
9,AGIL,54.40,28.58,trained_models/bc/incremental_agil/9_ep
10,AGIL,119.20,41.94,trained_models/bc/incremental_agil/10_ep
11,AGIL,116.80,24.45,trained_models/bc/incremental_agil/11_ep
12,AGIL,166.00,48.70,trained_models/bc/incremental_agil/12_ep
13,AGIL,154.80,42.67,trained_models/bc/incremental_agil/13_ep
14,AGIL,132.40,35.30,trained_models/bc/incremental_agil/14_ep
15,AGIL,141.20,38.45,trained_models/bc/incremental_agil/15_ep
16,AGIL,126.40,41.07,trained_models/bc/incremental_agil/16_ep
17,AGIL,138.00,40.25,trained_models/bc/incremental_agil/17_ep
18,AGIL,130.80,33.04,trained_models/bc/incremental_agil/18_ep
19,AGIL,109.60,29.46,trained_models/bc/incremental_agil/19_ep
20,AGIL,103.60,27.33,trained_models/bc/incremental_agil/20_ep
21,AGIL,119.20,36.65,trained_models/bc/incremental_agil/21_ep
22,AGIL,153.60,43.35,trained_models/bc/incremental_agil/22_ep
23,AGIL,161.60,53.49,trained_models/bc/incremental_agil/23_ep
24,AGIL,133.20,38.70,trained_models/bc/incremental_agil/24_ep
25,AGIL,149.60,42.57,trained_models/bc/incremental_agil/25_ep
26,AGIL,132.40,46.11,trained_models/bc/incremental_agil/26_ep
27,AGIL,168.00,54.11,trained_models/bc/incremental_agil/27_ep
28,AGIL,165.20,43.23,trained_models/bc/incremental_agil/28_ep
